year,name,rank,citizenship,countrycode,networthusbillion,selfmade,typeofwealth,gender,age,industry,IndustryAggregates,region,north,politicalconnection,founder,generationofinheritance,sector,company,companytype,relationshiptocompany,foundingdate,gdpcurrentus,sourceofwealth,notes,notes2,source,source_2,source_3,source_4
1996,Adrian and John Swire,162,Hong Kong,HKG,2.2,inherited,inherited,male,0,Money Management,Financial,East Asia,0,,0,Fourth generation,trading company,Swire,new,relation,1816,1.60E+11,,fourth generation?,,http://www.swire.com/en/about-us/our-story,,,
2014,Andrei Skoch,162,Russia,RUS,8.2,self-made,privatized and resources,male,48,Non-consumer industrial,Resource Related,Europe,0,,0,0,mining,Metallionvest,new,partner,1999,,steel,,,http://www.forbes.com/profile/andrei-skoch/,,,
2001,Dietmar Hopp,162,Germany,DEU,2.9,self-made,founder non-finance,male,60,Technology-Computer,New Sectors,Europe,1,,1,0,software,SAP AG,new,founder,1972,1.95E+12,,,,http://en.wikipedia.org/wiki/Dietmar_Hopp,http://www.sap.com/corporate-en/about/our-company/history/1972-1981.html,,
2001,Hiroshi Yamauchi,162,Japan,JPN,2.9,inherited,inherited,male,73,Technology-Computer,New Sectors,East Asia,1,,0,Third generation,video games,Nintendo,new,relation,1889,4.16E+12,,3rd generation,,http://en.wikipedia.org/wiki/Hiroshi_Yamauchi,,,
2001,Joseph and Moise Safra,162,Brazil,BRA,2.9,self-made,self-made finance,male,,Money Management,Financial,Latin America,0,,1,0,banking,Banco Safra (now Saftra Group),new,founder,1955,5.60E+11,,,,,,,
2001,Leslie Wexner,162,United States,USA,2.9,self-made,founder non-finance,male,59,Consumer,Traded Sectors,North America,1,,1,0,clothing,Limited Brands,new,founder,1963,1.06E+13,,,,http://en.wikipedia.org/wiki/Les_Wexner,http://www.forbes.com/profile/leslie-wexner/,"RAG TRADE REVOLUTIONARY The New York Times June 8, 1986, Sunday, Late City Final Edition",
2001,Lorenzo Zambrano,162,Mexico,MEX,2.9,inherited,inherited,male,56,Constrution,Non-Traded Sectors,Latin America,0,,0,Third generation,cement,Cemex,new,relation,1906,7.25E+11,,3rd generation,,http://en.wikipedia.org/wiki/Lorenzo_Zambrano,"Lorenzo Zambrano, 70, Leader of Cemex, Dies The New York Times May 15, 2014 Thursday",,
2014,Pierre Omidyar,162,United States,USA,8.2,self-made,founder non-finance,male,46,Technology-Computer,New Sectors,North America,1,,1,0,e-commerce,Ebay,new,founder and chairman,1995,,Ebay,,,http://en.wikipedia.org/wiki/Pierre_Omidyar,http://nymag.com/daily/intelligencer/2014/10/pierre-omidyar-first-look-media.html,,
2014,Xavier Niel,162,France,FRA,8.2,self-made,founder non-finance,male,46,Technology-Computer,New Sectors,Europe,1,,1,0,internet service provider,Iliad,new,founder,1999,,"internet, telecom",,,http://en.wikipedia.org/wiki/Xavier_Niel,http://www.ft.com/intl/cms/s/2/22167134-b24a-11e2-8540-00144feabdc0.html,,
1996,Prajogo Pangestu,163,Indonesia,IDN,2.2,self-made,privatized and resources,male,0,Mining and metals,Resource Related,East Asia,0,,1,0,petrochemicals,Barito Pacific,new,founder,1977,2.27E+11,,,,http://www.forbes.com/profile/prajogo-pangestu/,,,
1996,Akihiko Otsuka,164,Japan,JPN,2.2,inherited,inherited,male,0,Technology-Medical,New Sectors,East Asia,1,,0,inherited from father,pharmaceuticals,Otsuka Holdings,new,relation,1921,4.71E+12,,inherited from father?,,http://www.otsuka.com/en/company/history/,,,
1996,Kazuo Matsuda,165,Japan,JPN,2.2,self-made,self-made finance,male,0,Money Management,Financial,East Asia,1,,1,0,small-company lending,Nichiei,new,founder,1963,4.71E+12,,,,http://www.forbes.com/forbes/1999/0705/6401160a.html,,,
2014,Margarita Louis-Dreyfus,165,Switzerland,CHE,8.1,inherited,inherited,female,50,Mining and metals,Resource Related,Europe,1,,0,spouse or widow,"commodities (wheat, oil, shipping)",Louis-Dreyfus Goup,new,relation,1851,,commodities,widow of 4th generation heir,holds 60% of organization,http://en.wikipedia.org/wiki/Robert_Louis-Dreyfus,,,
